dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
neuma,epochwise,logreg,pr_auc,42,0,0.33201147845518914,0.301121100932653,0.36388120221017156,0.2837094553652594,0.005613585467749878,5
neuma,epochwise,svm_rbf,pr_auc,42,0,0.3080565688338347,0.2842163582874049,0.33293937766760234,0.2550758416848128,0.004064773440888591,5
neuma,permuted_subjectwise,deepconvnet,pr_auc,42,0,0.3105980523434444,0.28550632205022997,0.33740736029997326,0.26128133521015157,0.0037458514286124417,5
neuma,permuted_subjectwise,eegnet,pr_auc,42,0,0.3046936460475559,0.2778157852987913,0.3326688500077189,0.25290138981039373,0.0028555618241535487,5
neuma,permuted_subjectwise,logreg,pr_auc,42,0,0.32125743733239615,0.29466824020180477,0.3495286536828414,0.26887775848617235,0.007411681294967974,5
neuma,permuted_subjectwise,svm_rbf,pr_auc,42,0,0.31531783572112787,0.28777770777636774,0.3430908297984829,0.25246158346202063,0.00808346160768314,5
neuma,subjectwise,deepconvnet,pr_auc,42,0,0.3109354470724816,0.2849403667096783,0.33799496184480887,0.2590009355147502,0.007056046372631874,5
neuma,subjectwise,eegnet,pr_auc,42,0,0.31522663959987696,0.2894884811184863,0.3421221562649558,0.26116848870125803,0.0053653637297532706,5
neuma,subjectwise,logreg,pr_auc,42,0,0.34273828198684597,0.31175418107395464,0.3741822740229356,0.27728535153132305,0.004862745849390496,5
neuma,subjectwise,svm_rbf,pr_auc,42,0,0.31233180870383415,0.28468477015818766,0.3413291652765563,0.2505424520258638,0.007898805486795583,5
restaurant_logo,epochwise,deepconvnet,pr_auc,15,0,0.7143594816258323,0.6407353530191044,0.7924748598741078,0.6847580819592362,0.009369782700106476,5
restaurant_logo,epochwise,eegnet,pr_auc,15,0,0.7223167799664457,0.6451043505889321,0.8032705651297073,0.6890937575001683,0.019131853932281853,5
restaurant_logo,epochwise,logreg,pr_auc,15,0,0.8097758128797378,0.7405093539862027,0.8766269617228288,0.8230212097794002,0.003966692732928983,5
restaurant_logo,epochwise,svm_rbf,pr_auc,15,0,0.7076544542827143,0.6333339567427294,0.7850428675587446,0.6766580210844133,0.026862054852776037,5
restaurant_logo,permuted_subjectwise,deepconvnet,pr_auc,15,0,0.7264435014966856,0.666382609378775,0.7916495647096827,0.6726598177256504,0.01067249966270977,5
restaurant_logo,permuted_subjectwise,eegnet,pr_auc,15,0,0.7291319317281068,0.6593011855205303,0.8025873433469191,0.6931546496662291,0.03660159860777712,5
restaurant_logo,permuted_subjectwise,logreg,pr_auc,15,0,0.7375929832674715,0.672965628073261,0.8043051616609348,0.6964013297352445,0.026811860962419765,5
restaurant_logo,permuted_subjectwise,svm_rbf,pr_auc,15,0,0.7144215403485181,0.6428078190735972,0.792082753865088,0.6792227364254968,0.01926371179621143,5
restaurant_logo,subjectwise,deepconvnet,pr_auc,15,0,0.7135687727481062,0.6330139389229981,0.7981298805986844,0.6755178608915556,0.025307043895754146,5
restaurant_logo,subjectwise,eegnet,pr_auc,15,0,0.7222549080646418,0.6428374776415801,0.8032483451501954,0.671422672787803,0.017068373594326523,5
restaurant_logo,subjectwise,logreg,pr_auc,15,0,0.8122394733779424,0.7511430365871746,0.8739304997548911,0.7746964200975887,0.02218440520620393,5
restaurant_logo,subjectwise,svm_rbf,pr_auc,15,0,0.7410017247214672,0.6707577595860907,0.8129558469749005,0.6935947187089324,0.008679040130719396,5
